X1,Y1,X2,Y2,Confidence,Object,Count
190.80006408691406,195.33226013183594,259.8775634765625,230.0757598876953,0.7599151730537415,battery,0
190.8782196044922,195.2063751220703,259.8836975097656,230.20132446289062,0.7565391063690186,battery,0
190.85840606689453,195.4558563232422,259.86138916015625,230.21114349365234,0.7860605120658875,battery,0
190.80194473266602,195.6720733642578,259.82952880859375,230.14613723754883,0.7971683144569397,battery,0
190.78611183166504,195.73168182373047,259.80921936035156,230.10149574279785,0.7707446217536926,battery,0
190.74091053009033,195.8935890197754,259.77542877197266,230.0577211380005,0.7971522212028503,battery,0
190.66950464248657,196.0082721710205,259.7536201477051,230.08674478530884,0.7899876832962036,battery,0
190.6559193134308,195.9992914199829,259.7366886138916,230.10813069343567,0.8066440224647522,battery,0
190.6349436044693,196.04653596878052,259.7372407913208,230.16454660892487,0.8178282380104065,battery,0
190.57555896043777,196.12595963478088,259.7188096046448,230.2718408703804,0.8084251284599304,battery,0
190.5994249880314,196.05171120166779,259.69999623298645,230.38373079895973,0.8158475160598755,battery,0
190.57539303600788,196.12551075220108,259.6739727258682,230.58158250153065,0.8274697065353394,battery,0
190.52523008733988,196.04709985852242,259.67527371644974,230.74551079422235,0.8391687870025635,battery,0
190.54214080050588,196.11488904058933,259.65682020783424,230.881986964494,0.8393095135688782,battery,0
190.51106826402247,196.36268133670092,259.6223706752062,230.98305433429778,0.8660741448402405,battery,0
190.42785926628858,196.50048587098718,259.5674414411187,231.19075354654342,0.8751577734947205,battery,0
190.3034834661521,196.58670686371624,259.5281665213406,231.35619525471702,0.8665944337844849,battery,0
190.29261087370105,196.5458863908425,259.5027002040297,231.5611237504054,0.8654948472976685,battery,0
190.27900349593256,196.65558021934703,259.4466015668586,231.7276062477613,0.8753700256347656,battery,0
190.1904355858569,196.68962177471258,259.39291748264804,231.90984651987674,0.8500713109970093,battery,0
190.21448811763548,196.75296060659457,259.31396667589433,232.078366863454,0.8510146737098694,battery,0
190.1923194372357,196.9240190606215,259.2605294805253,232.22650032625825,0.8677656650543213,battery,0
190.218878529653,197.06855402493966,259.16839645412983,232.3348764448674,0.8926608562469482,battery,0
190.1520646920726,197.12733273756749,259.07084678663523,232.4899708762423,0.8660010099411011,battery,0
190.02514428451286,197.16776182776812,258.94405376441136,232.68607125355084,0.8377420902252197,battery,0
189.96087536491268,197.13928557697,258.8332329368932,232.85540287531057,0.8167921304702759,battery,0
189.94760839778837,197.13998580606312,258.7219448375872,232.98255678433497,0.8277366161346436,battery,0
189.92966052213637,197.14330375508234,258.6358747625436,233.12410615095655,0.8272147178649902,battery,0
189.92809472640022,197.24059719004117,258.53438330412337,233.24802719657202,0.8482089042663574,battery,0
189.89523022452823,197.31270429570418,258.46125293135856,233.35110252650867,0.8683209419250488,battery,0
189.8062805785727,197.36346732119193,258.38933313071834,233.49722942487543,0.8853458762168884,battery,0
189.72423098752853,197.52538447846706,258.312540710867,233.61611501761348,0.8903768658638,battery,0
189.7552124175924,197.71130826706556,258.23026022359755,233.65196009669737,0.9015723466873169,battery,0
189.72019654082743,197.8200935256226,258.17987315379094,233.7321308662198,0.8972356915473938,battery,0
189.73396149062856,197.88032264171756,258.1082318649814,233.77287237891068,0.8945181965827942,battery,0
189.71643753242364,197.96401080816347,258.02700106432667,233.80782290820534,0.9049556851387024,battery,0
